conv_rate,conv_angle,dist_nearest_edge,conv_paral,seafloor_age,carbonate_sediment_thickness,label
6.77,-38.85,11.96,-4.25,55.54,37.52,FALSE
6.76,-38.92,12.15,-4.25,55.61,37.14,FALSE
6.75,-39,12.34,-4.25,55.61,37.14,FALSE
6.75,-39,12.34,-4.25,55.61,37.14,FALSE
6.72,-39.23,12.92,-4.25,57.25,35.93,FALSE
6.72,-39.23,12.92,-4.25,57.25,35.93,FALSE
6.67,-39.55,13.68,-4.25,57.33,35.63,FALSE
6.65,-39.71,14.07,-4.25,57.38,35.49,FALSE
6.59,-40.13,15.02,-4.25,57.4,35.3,FALSE
6.59,-40.13,15.02,-4.25,57.4,35.3,FALSE
6.5,-25.44,16.37,-2.79,62.29,34.94,FALSE
6.44,-25.69,17.15,-2.79,62.26,34.94,FALSE
6.41,-25.81,17.42,-2.79,62.2,34.94,FALSE
6.38,-25.94,17.04,-2.79,57.55,34.67,FALSE
6.38,-25.94,17.04,-2.79,57.55,34.67,FALSE
6.38,-25.94,17.04,-2.79,57.55,34.67,FALSE
6.37,-26,16.84,-2.79,57.55,34.67,FALSE
6.31,-20.51,16.06,-2.21,57.4,34.3,FALSE
6.27,-20.62,15.67,-2.21,57.23,34.3,FALSE
6.26,-20.67,15.47,-2.21,57.23,34.3,FALSE
6.21,-20.84,14.89,-2.21,57.04,34.17,FALSE
6.16,-21.01,14.3,-2.21,54.21,33.91,FALSE
6.14,-21.07,14.1,-2.21,54.21,33.91,FALSE
6.08,-21.31,13.32,-2.21,54.13,33.68,FALSE
6.05,-15.08,12.93,-1.57,53.42,37.46,FALSE
6.03,-15.13,12.74,-1.57,53.42,37.46,FALSE
5.96,-15.3,11.98,-1.57,53.48,37.46,FALSE
5.93,-15.39,11.6,-1.57,53.51,37.06,FALSE
5.91,-15.44,11.41,-1.57,51.34,37.06,FALSE
5.91,-15.44,11.41,-1.57,51.34,37.06,FALSE
5.72,2.02,9.42,0.2,52.03,41.87,FALSE
5.7,2.02,9.24,0.2,52.25,41.87,FALSE
5.63,-5.74,8.44,-0.56,51.2,42.53,FALSE
5.49,11.54,7.09,1.1,44.17,66.3,FALSE
5.42,14.03,6.41,1.32,44.17,66.3,FALSE
5.42,14.03,6.41,1.32,44.17,66.3,FALSE
5.35,14.24,5.64,1.32,42.02,68.81,FALSE
5.35,14.24,5.64,1.32,42.02,68.81,FALSE
5.35,14.24,5.64,1.32,42.02,68.81,FALSE
5.31,14.35,5.26,1.32,42.02,68.81,FALSE
5.31,14.35,5.26,1.32,42.02,68.81,FALSE
5.25,14.51,4.69,1.32,42.02,68.81,FALSE
5.19,14.68,4.11,1.32,39.36,68.81,FALSE
5.15,14.79,3.73,1.32,39.36,75.8,FALSE
5.09,12.86,3.16,1.13,39.36,75.8,FALSE
5.03,13.02,2.58,1.13,37.75,81.86,FALSE
4.76,13.76,0.1,1.13,34.77,88.12,FALSE
-4.76,-127.76,0.1,-3.76,21.18,30.84,FALSE
4.35,-19.15,1.45,-1.43,4.03,33.11,FALSE
4.38,-16.42,5.97,-1.24,7.88,45.62,FALSE
4.36,-25.56,3.35,-1.88,2.68,23.94,FALSE
4.37,-25.55,3.53,-1.88,2.68,23.94,FALSE
4.38,-16.43,6.03,-1.24,7.88,45.62,FALSE
4.37,-35.5,4.99,-2.54,7.76,51.1,FALSE
4.37,-35.5,4.99,-2.54,7.76,51.1,FALSE
4.38,-16.43,6.03,-1.24,7.88,45.62,FALSE
4.37,-35.52,4.43,-2.54,6.93,51.1,FALSE
4.38,-15.87,4.02,-1.2,5.58,43.73,FALSE
4.37,-29.03,5.16,-2.12,7.76,51.1,FALSE
4.37,-35.5,4.99,-2.54,7.76,51.1,FALSE
4.37,-35.5,4.99,-2.54,7.76,51.1,FALSE
4.38,-16.42,5.44,-1.24,7.88,45.62,FALSE
4.38,-29.01,5.86,-2.12,7.76,45.4,FALSE
4.37,-35.51,4.8,-2.54,6.93,51.1,FALSE
4.35,-19.15,1.45,-1.43,4.03,33.11,FALSE
4.35,-27.33,0.86,-2,5.35,30.84,FALSE
4.38,-16.43,6.03,-1.24,7.88,45.62,FALSE
4.37,-35.51,4.62,-2.54,6.93,51.1,FALSE
4.38,-15.88,4.38,-1.2,5.75,43.73,FALSE
4.37,-35.53,4.25,-2.54,6.93,51.1,FALSE
4.38,6.39,3.84,0.49,5.58,43.73,FALSE
4.38,6.39,3.66,0.49,5.58,23.94,FALSE
4.38,6.39,3.84,0.49,5.58,43.73,FALSE
5.76,15.97,2.19,1.58,11.54,77,FALSE
5.76,15.97,2.19,1.58,11.54,77,FALSE
5.8,15.84,2,1.58,11.54,77,FALSE
5.76,15.97,2.19,1.58,11.54,77,FALSE
5.8,15.84,2,1.58,11.54,77,FALSE
5.8,15.84,2,1.58,11.54,77,FALSE
5.8,15.84,2,1.58,11.54,77,FALSE
6.01,18.15,1.17,1.87,11.54,77,FALSE
6.01,18.15,1.17,1.87,11.54,77,FALSE
6.05,16.95,1,1.76,11.54,77,FALSE
6.05,16.95,1,1.76,11.54,77,FALSE
6.05,16.95,1,1.76,11.54,77,FALSE
6.1,16.83,0.83,1.76,11.52,75.92,FALSE
6.1,16.83,0.83,1.76,11.52,75.92,FALSE
4.74,14.11,0.1,1.16,34.49,89.12,FALSE
4.74,14.11,0.1,1.16,34.49,89.12,FALSE
4.74,14.11,0.1,1.16,34.49,89.12,FALSE
4.74,14.11,0.1,1.16,34.49,89.12,FALSE
4.74,14.11,0.1,1.16,34.49,89.12,FALSE
4.74,14.11,0.1,1.16,34.49,89.12,FALSE
4.74,14.11,0.1,1.16,34.49,89.12,FALSE
4.74,14.11,0.1,1.16,34.49,89.12,FALSE
4.74,14.11,0.1,1.16,34.49,89.12,FALSE
4.74,14.11,0.1,1.16,34.49,89.12,FALSE
4.39,9.75,0.09,0.74,0.59,4.13,FALSE
4.39,9.75,0.09,0.74,0.59,4.13,FALSE
4.39,9.75,0.09,0.74,0.59,4.13,FALSE
4.39,9.75,0.09,0.74,0.59,4.13,FALSE
4.39,11.99,1.32,0.91,2.8,4.13,FALSE
4.39,11.99,0.97,0.91,2.8,4.13,FALSE
4.39,11.99,0.97,0.91,2.8,4.13,FALSE
4.39,11.99,0.97,0.91,2.8,4.13,FALSE
4.39,11.99,1.32,0.91,2.8,4.13,FALSE
4.39,11.99,0.97,0.91,2.8,4.13,FALSE
4.39,11.99,0.97,0.91,2.8,4.13,FALSE
4.39,11.99,1.32,0.91,2.8,4.13,FALSE
4.39,11.99,1.32,0.91,2.8,4.13,FALSE
4.39,11.99,0.97,0.91,2.8,4.13,FALSE
5.43,16.43,1.32,1.53,11.28,75.48,FALSE
5.43,16.43,1.32,1.53,11.28,75.48,FALSE
5.38,16.57,1.51,1.53,11.28,57.78,FALSE
5.47,16.28,1.14,1.53,11.28,75.48,FALSE
5.47,16.28,1.14,1.53,11.28,75.48,FALSE
5.52,16.38,0.96,1.56,11.28,75.48,FALSE
5.47,16.28,1.14,1.53,11.28,75.48,FALSE
5.57,16.24,0.77,1.56,11.08,75.48,FALSE
5.57,16.24,0.77,1.56,11.08,75.48,FALSE
5.57,16.24,0.77,1.56,11.08,75.48,FALSE
5.61,16.1,0.59,1.56,11.08,75.48,FALSE
5.57,16.24,0.77,1.56,11.08,75.48,FALSE
5.61,16.1,0.59,1.56,11.08,75.48,FALSE
5.66,15.97,0.41,1.56,11.08,75.48,FALSE
5.61,16.1,0.59,1.56,11.08,75.48,FALSE
5.66,15.97,0.41,1.56,11.08,75.48,FALSE
5.66,15.97,0.41,1.56,11.08,75.48,FALSE
5.74,18.67,0.08,1.84,12.17,75.48,FALSE
5.74,18.67,0.08,1.84,12.17,75.48,FALSE
5.74,18.67,0.08,1.84,12.17,75.48,FALSE
5.74,18.67,0.08,1.84,12.17,75.48,FALSE
5.74,18.67,0.08,1.84,12.17,75.48,FALSE
5.74,18.67,0.08,1.84,12.17,75.48,FALSE
5.74,18.67,0.08,1.84,12.17,75.48,FALSE
5.74,18.67,0.08,1.84,12.17,75.48,FALSE
5.74,18.67,0.08,1.84,12.17,75.48,FALSE
5.74,18.67,0.08,1.84,12.17,75.48,FALSE
5.74,18.67,0.08,1.84,12.17,75.48,FALSE
5.74,18.67,0.08,1.84,12.17,75.48,FALSE
5.74,18.67,0.08,1.84,12.17,75.48,FALSE
5.74,18.67,0.08,1.84,12.17,75.48,FALSE
5.74,18.67,0.08,1.84,12.17,75.48,FALSE
5.74,18.67,0.08,1.84,12.17,75.48,FALSE
6.86,8.09,0.1,0.96,15.92,88.16,FALSE
6.86,8.09,0.1,0.96,15.92,88.16,FALSE
5.74,18.67,0.08,1.84,12.17,75.48,FALSE
6.86,8.09,0.1,0.96,15.92,88.16,FALSE
6.86,8.09,0.1,0.96,15.92,88.16,FALSE
7.07,9.83,1.69,1.21,21.84,95.64,FALSE
-3.1,-94.99,0.09,-3.09,4.37,31.88,FALSE
-3.1,-94.99,0.09,-3.09,4.37,31.88,FALSE
-3.09,-90.98,0.28,-3.09,4.37,31.88,FALSE
-3.09,-90.98,0.28,-3.09,4.37,31.88,FALSE
-3.1,-94.99,0.09,-3.09,4.37,31.88,FALSE
-3.09,-90.98,0.28,-3.09,4.37,31.88,FALSE
-3.09,-90.98,0.28,-3.09,4.37,31.88,FALSE
-3.09,-90.98,0.28,-3.09,4.37,31.88,FALSE
-3.09,-90.98,0.28,-3.09,4.37,31.88,FALSE
3.1,-86.97,0.47,-3.09,6.92,31.88,FALSE
3.11,-82.98,0.66,-3.09,6.92,31.88,FALSE
3.1,-86.97,0.47,-3.09,6.92,31.88,FALSE
-3.09,-90.98,0.28,-3.09,4.37,31.88,FALSE
3.11,-82.98,0.66,-3.09,6.92,31.88,FALSE
4.1,-72.53,0.06,-3.91,3.01,28.09,FALSE
4.45,6.27,0.09,0.49,2.3,41.06,FALSE
4.45,-9.6,0.09,-0.74,3.02,37.98,FALSE
4.46,-9.86,0.09,-0.76,3.25,27.81,FALSE
4.47,-9.99,0.09,-0.78,2.42,23.08,FALSE
4.49,-10.25,0.09,-0.8,4.69,13.65,FALSE
6.01,-30.11,0.09,-3.02,10.69,32.13,FALSE
6.01,-30.11,0.09,-3.02,10.69,32.13,FALSE
6.01,-30.11,0.09,-3.02,10.69,32.13,FALSE
6.01,-30.11,0.09,-3.02,10.69,32.13,FALSE
7.43,-18.21,0.78,-2.32,17.31,66.12,FALSE
7.37,-18.35,0.6,-2.32,10.78,66.12,FALSE
7.54,-17.94,1.12,-2.32,17.31,66.12,FALSE
7.54,-17.94,1.12,-2.32,17.31,66.12,FALSE
4.88,-21.92,13.36,-1.82,8.98,40.66,FALSE
9.53,-66.03,10.48,-8.71,3.18,17.97,FALSE
15.82,-7.96,16.82,-2.19,78.03,38.46,FALSE
8.86,42.79,0.08,6.02,53.13,3.6,FALSE