lon,lat,age,plate_id,recon_lon,recon_lat,distance,sub_idx,trench_lon,trench_lat,conv_rate,conv_angle,trench_abs_rate,trench_abs_angle,arc_len,trench_norm,subducting_pid,trench_pid,dist_nearest_edge,dist_from_start,conv_ortho,conv_paral,conv_paral_abs,trench_abs_ortho,trench_abs_paral,subducting_abs_rate,subducting_abs_angle,subducting_abs_ortho,subducting_abs_paral,seafloor_age,subduction_volume_km3y,carbonate_sediment_thickness,total_sediment_thick,ocean_crust_carb_percent,target
-122.77,38.97,0,176,-122.77,38.97,0.034,361,-125.13,39.67,-4.76,-127.76,2.36,125.79,0.19,87.55,901,101,0.1,0.1,-2.92,-3.76,3.76,-1.38,1.91,4.69,-156.67,-4.31,-1.86,21.18,0.0,30.84,75.68,1.64,NA_VOLCANIC
-104.79,21.51,3,104,-104.272,21.998,0.017,371,-105.29,21.88,-3.1,-94.99,2.54,130.14,0.19,94.32,970,101,0.09,4.8,-0.27,-3.09,3.09,-1.64,1.94,2.1,-149.38,-1.8,-1.07,4.37,0.0,31.88,266.39,1.18,NA_VOLCANIC
-104.69,21.17,3,104,-104.17299999999999,21.656999999999996,0.018000000000000002,369,-105.3,21.69,-3.09,-90.98,2.54,130.13,0.19,94.32,970,101,0.28,4.61,-0.05,-3.09,3.09,-1.64,1.94,1.91,-146.06,-1.59,-1.07,4.37,0.0,31.88,266.39,1.18,NA_VOLCANIC
-103.86,20.85,3,104,-103.34200000000001,21.334,0.032,367,-105.32,21.5,3.1,-86.97,2.54,130.12,0.19,94.31,970,101,0.47,4.42,0.16,-3.09,3.09,-1.64,1.94,1.74,-142.05,-1.37,-1.07,6.92,0.0,31.88,266.39,1.21,NA_VOLCANIC
-103.74,20.79,3,104,-103.22200000000001,21.274,0.034,365,-105.33,21.32,3.11,-82.98,2.54,130.11,0.19,94.3,970,101,0.66,4.23,0.38,-3.09,3.09,-1.64,1.94,1.57,-137.17,-1.15,-1.07,6.92,0.0,31.88,266.39,1.21,NA_VOLCANIC
-123.0,51.0,9,16124,-127.22399999999999,55.068000000000005,0.05,296,-128.77,52.34,4.1,-72.53,2.23,160.31,0.11,46.82,901,101,0.06,17.09,1.23,-3.91,3.91,-2.1,0.75,3.29,-105.33,-0.87,-3.18,3.01,0.0,28.09,46.36,0.9,NA_VOLCANIC
-122.2,41.42,0,178,-122.2,41.42,0.040999999999999995,354,-125.27,41.02,4.35,-19.15,2.34,133.5,0.2,79.31,903,101,1.45,1.45,4.11,-1.43,1.43,-1.61,1.7,-2.51,6.14,2.5,0.27,4.03,0.02,33.11,65.97,1.6,NA_VOLCANIC
-121.51,40.49,0,178,-121.51,40.49,0.049,357,-125.18,40.44,4.35,-27.33,2.35,125.53,0.19,87.53,903,101,0.86,0.86,3.86,-2.0,2.0,-1.37,1.91,-2.49,-2.0,2.49,-0.09,5.35,0.02,30.84,68.5,1.66,NA_VOLCANIC
-122.12,42.93,0,173,-122.12,42.93,0.045,335,-125.62,42.9,4.36,-25.56,2.32,126.38,0.18,85.56,903,101,3.35,3.35,3.94,-1.88,1.88,-1.38,1.87,-2.56,-0.41,2.56,-0.02,2.68,0.01,23.94,50.31,0.73,NA_VOLCANIC
-122.11,43.24,0,173,-122.11,43.24,0.045,333,-125.64,43.08,4.37,-25.55,2.32,126.32,0.18,85.55,903,101,3.53,3.53,3.94,-1.88,1.88,-1.37,1.87,-2.56,-0.41,2.56,-0.02,2.68,0.01,23.94,50.31,0.73,NA_VOLCANIC
-121.93,44.38,0,173,-121.93,44.38,0.045,343,-125.55,44.53,4.37,-35.5,2.31,115.74,0.18,95.61,903,101,4.99,4.99,3.56,-2.54,2.54,-1.0,2.08,-2.6,-10.31,2.56,-0.47,7.76,0.02,51.1,54.24,1.05,NA_VOLCANIC
-121.82,43.64,0,173,-121.82,43.64,0.048,334,-125.63,43.98,4.37,-35.52,2.31,115.97,0.18,95.56,903,101,4.43,4.43,3.56,-2.54,2.54,-1.01,2.08,-2.58,-10.36,2.54,-0.47,6.93,0.02,51.1,53.65,0.62,NA_VOLCANIC
-121.8,44.67,0,173,-121.8,44.67,0.046,348,-125.54,44.71,4.37,-29.03,2.3,122.12,0.17,89.16,903,101,5.16,5.16,3.82,-2.12,2.12,-1.23,1.95,-2.6,-3.84,2.6,-0.17,7.76,0.02,51.1,54.24,1.05,NA_VOLCANIC
-121.69,43.98,0,173,-121.69,43.98,0.049,340,-125.58,44.35,4.37,-35.51,2.31,115.81,0.18,95.6,903,101,4.8,4.8,3.56,-2.54,2.54,-1.0,2.08,-2.59,-10.33,2.55,-0.47,6.93,0.02,51.1,53.65,0.62,NA_VOLCANIC
-121.23,43.72,0,173,-121.23,43.72,0.055,337,-125.6,44.16,4.37,-35.51,2.31,115.89,0.18,95.58,903,101,4.62,4.62,3.56,-2.54,2.54,-1.01,2.08,-2.59,-10.35,2.55,-0.47,6.93,0.02,51.1,53.65,0.62,NA_VOLCANIC
-120.86,43.51,0,173,-120.86,43.51,0.061,331,-125.65,43.79,4.37,-35.53,2.31,116.04,0.18,95.54,903,101,4.25,4.25,3.56,-2.54,2.54,-1.02,2.08,-2.58,-10.38,2.54,-0.47,6.93,0.02,51.1,53.65,0.62,NA_VOLCANIC
-122.18,46.2,0,173,-122.18,46.2,0.043,332,-125.65,45.74,4.38,-16.42,2.29,134.31,0.18,76.5,903,101,5.97,6.21,4.2,-1.24,1.24,-1.6,1.64,-2.63,8.75,2.6,0.4,7.88,0.02,45.62,54.24,1.09,NA_VOLCANIC
-122.08,45.88,0,173,-122.08,45.88,0.043,338,-125.59,45.57,4.38,-16.43,2.3,134.37,0.18,76.55,903,101,6.03,6.03,4.2,-1.24,1.24,-1.61,1.64,-2.62,8.76,2.59,0.4,7.88,0.02,45.62,54.24,1.09,NA_VOLCANIC
-121.81,48.78,0,173,-121.81,48.78,0.055999999999999994,317,-126.33,47.63,4.38,-15.87,2.27,134.15,0.18,75.47,903,101,4.02,8.15,4.21,-1.2,1.2,-1.58,1.63,-2.67,9.14,2.63,0.42,5.58,0.02,43.73,50.87,1.11,NA_VOLCANIC
-121.76,46.85,0,173,-121.76,46.85,0.05,325,-125.83,46.25,4.38,-16.42,2.29,134.13,0.18,76.38,903,101,5.44,6.73,4.2,-1.24,1.24,-1.59,1.64,-2.64,8.71,2.61,0.4,7.88,0.02,45.62,51.53,1.09,NA_VOLCANIC
-121.69,45.37,0,173,-121.69,45.37,0.047,342,-125.56,45.4,4.38,-29.01,2.3,121.85,0.17,89.15,903,101,5.86,5.86,3.83,-2.12,2.12,-1.21,1.95,-2.62,-3.82,2.61,-0.17,7.76,0.02,45.4,54.24,1.05,NA_VOLCANIC
-121.11,48.11,0,173,-121.11,48.11,0.061,319,-126.2,47.29,4.38,-15.88,2.27,134.28,0.18,75.57,903,101,4.38,7.8,4.21,-1.2,1.2,-1.59,1.63,-2.66,9.17,2.63,0.42,5.75,0.02,43.73,51.1,1.11,NA_VOLCANIC
-120.64,49.56,0,16102,-120.64,49.56,0.07400000000000001,316,-126.45,47.79,4.38,6.39,2.26,156.36,0.18,53.12,903,101,3.84,8.33,4.35,0.49,0.49,-2.07,0.91,-2.67,31.38,2.28,1.39,5.58,0.02,43.73,50.87,1.11,NA_VOLCANIC
-120.55,50.77,0,16102,-120.55,50.77,0.085,315,-126.61,47.93,4.38,6.39,2.26,156.33,0.18,53.01,903,101,3.66,8.51,4.35,0.49,0.49,-2.07,0.91,-2.67,31.33,2.28,1.39,5.58,0.02,23.94,50.87,1.11,NA_VOLCANIC
-129.2,55.27,1,16101,-129.061,55.446999999999996,0.08,295,-129.88,50.9,4.39,9.75,2.19,159.22,0.18,46.86,903,101,0.09,13.19,4.32,0.74,0.74,-2.05,0.78,-2.73,33.74,2.27,1.52,0.59,0.01,4.13,43.52,0.72,NA_VOLCANIC
-124.8,52.27,1,16101,-124.64299999999999,52.446999999999996,0.06,302,-128.53,50.02,4.39,11.99,2.22,161.7,0.17,45.65,903,101,1.32,11.96,4.29,0.91,0.91,-2.11,0.7,-2.71,36.27,2.19,1.61,2.8,0.01,4.13,46.44,0.81,NA_VOLCANIC
-124.8,52.53,1,16101,-124.64299999999999,52.707,0.063,300,-128.91,50.27,4.39,11.99,2.21,161.64,0.17,45.36,903,101,0.97,12.31,4.29,0.91,0.91,-2.1,0.7,-2.72,36.19,2.19,1.61,2.8,0.01,4.13,46.44,0.81,NA_VOLCANIC
-119.87,49.55,10,16101,-126.87799999999999,55.776,0.06,296,-128.59,52.5,4.45,6.27,2.18,163.43,0.18,46.86,903,101,0.09,17.05,4.43,0.49,0.49,-2.09,0.62,-2.58,25.32,2.33,1.1,2.3,0.01,41.06,45.75,0.89,NA_VOLCANIC
-119.74,49.83,11,16124,-125.895,54.214,0.038,297,-128.42,52.67,4.45,-9.6,2.32,169.51,0.18,46.87,903,101,0.09,17.05,4.39,-0.74,0.74,-2.28,0.42,-2.13,-8.83,2.1,-0.33,3.02,0.02,37.98,46.93,1.25,NA_VOLCANIC
-119.65,49.48,13,16101,-126.156,56.419,0.063,302,-128.01,53.0,4.46,-9.86,2.33,169.75,0.18,46.94,903,101,0.09,17.05,4.4,-0.76,0.76,-2.29,0.41,-2.14,-9.63,2.11,-0.36,3.25,0.02,27.81,47.52,1.21,NA_VOLCANIC
-119.62,49.3,14,16124,-126.405,56.336999999999996,0.057,301,-127.81,53.17,4.47,-9.99,2.33,169.88,0.18,46.98,903,101,0.09,17.05,4.4,-0.78,0.78,-2.3,0.41,-2.14,-10.04,2.11,-0.37,2.42,0.01,23.08,46.46,1.2,NA_VOLCANIC
-127.06,52.62,16,16124,-125.961,56.681000000000004,0.057,298,-127.38,53.5,4.49,-10.25,2.34,170.13,0.18,47.06,903,101,0.09,17.05,4.42,-0.8,0.8,-2.31,0.4,-2.15,-10.85,2.11,-0.4,4.69,0.02,13.65,48.23,1.32,NA_VOLCANIC
-148.45,64.72,1,16105,-148.438,64.88600000000001,0.081,294,-144.38,60.63,4.74,14.11,1.92,-134.99,0.19,324.15,901,111,0.1,0.1,4.6,1.16,1.16,-1.36,-1.36,-3.26,-3.74,3.25,-0.21,34.49,0.06,89.12,97.73,1.89,NA_VOLCANIC
-144.02,62.01,0,16110,-144.02,62.01,0.027000000000000003,294,-144.44,60.46,4.76,13.76,1.91,-135.18,0.19,324.26,901,111,0.1,0.1,4.63,1.13,1.13,-1.36,-1.35,-3.29,-3.97,3.28,-0.23,34.77,0.06,88.12,98.17,1.87,NA_VOLCANIC
-121.0,50.0,44,16101,-115.789,57.563,0.042,234,-118.02,55.51,4.88,-21.92,1.73,-128.2,0.19,33.42,903,101,13.36,44.58,4.53,-1.82,1.82,-1.07,-1.36,-4.68,-42.72,3.44,-3.18,8.98,0.03,40.66,56.12,1.76,NA_VOLCANIC
-152.25,61.3,0,18106,-152.25,61.3,0.053,281,-148.35,58.95,5.03,13.02,1.86,-133.57,0.19,320.88,901,111,2.58,2.58,4.9,1.13,1.13,-1.28,-1.35,-3.63,-3.59,3.63,-0.23,37.75,0.07,81.86,102.81,2.0,NA_VOLCANIC
-152.74,60.49,0,16112,-152.74,60.49,0.046,278,-149.2,58.59,5.09,12.86,1.85,-133.18,0.19,320.15,901,111,3.16,3.16,4.96,1.13,1.13,-1.27,-1.35,-3.71,-3.51,3.71,-0.23,39.36,0.07,75.8,105.85,2.04,NA_VOLCANIC
-153.09,60.03,0,16112,-153.09,60.03,0.042,275,-150.04,58.21,5.15,14.79,1.84,-130.7,0.19,317.35,901,111,3.73,3.73,4.98,1.32,1.32,-1.2,-1.39,-3.79,-1.36,3.79,-0.09,39.36,0.07,75.8,105.85,2.04,NA_VOLCANIC
-153.44,59.36,0,16112,-153.44,59.36,0.036000000000000004,273,-150.57,57.95,5.19,14.68,1.83,-130.42,0.19,316.9,901,111,4.11,4.11,5.02,1.32,1.32,-1.19,-1.39,-3.85,-1.34,3.84,-0.09,39.36,0.07,68.81,105.85,2.04,NA_VOLCANIC
-153.67,58.77,0,16112,-153.67,58.77,0.03,270,-151.35,57.56,5.25,14.51,1.82,-129.99,0.19,316.24,901,111,4.69,4.69,5.08,1.32,1.32,-1.17,-1.39,-3.92,-1.32,3.92,-0.09,42.02,0.07,68.81,108.47,2.06,NA_VOLCANIC
-154.69,58.33,0,16112,-154.69,58.33,0.032,267,-152.11,57.16,5.31,14.35,1.81,-129.56,0.19,315.6,901,111,5.26,5.26,5.14,1.32,1.32,-1.15,-1.39,-4.0,-1.29,4.0,-0.09,42.02,0.07,68.81,108.47,2.06,NA_VOLCANIC
-155.36,58.17,0,16112,-155.36,58.17,0.034,265,-152.61,56.89,5.35,14.24,1.8,-129.27,0.19,315.18,901,111,5.64,5.64,5.18,1.32,1.32,-1.14,-1.39,-4.05,-1.28,4.05,-0.09,42.02,0.07,68.81,108.47,2.06,NA_VOLCANIC
-100.47,19.72,1,215,-100.296,19.877,0.051,403,-101.67,17.25,5.38,16.57,2.52,-158.77,0.18,24.2,909,101,1.51,1.51,5.16,1.53,1.53,-2.35,-0.91,-2.88,13.13,2.8,0.65,11.28,0.04,57.78,57.82,1.34,NA_VOLCANIC
-156.51,57.83,0,16112,-156.51,57.83,0.038,261,-153.59,56.35,5.42,14.03,1.78,-128.67,0.19,314.36,901,111,6.41,6.41,5.26,1.32,1.32,-1.11,-1.39,-4.16,-1.24,4.16,-0.09,44.17,0.08,66.3,112.26,2.14,NA_VOLCANIC
-100.5,19.48,1,215,-100.32700000000001,19.637,0.047,404,-101.49,17.17,5.43,16.43,2.51,-158.76,0.18,24.25,909,101,1.32,1.32,5.21,1.53,1.53,-2.34,-0.91,-2.92,12.91,2.85,0.65,11.28,0.04,75.48,59.38,1.39,NA_VOLCANIC
