lon,lat,age,plate_id,recon_lon,recon_lat,distance,sub_idx,trench_lon,trench_lat,conv_rate,conv_angle,trench_abs_rate,trench_abs_angle,arc_len,trench_norm,subducting_pid,trench_pid,dist_nearest_edge,dist_from_start,conv_ortho,conv_paral,conv_paral_abs,trench_abs_ortho,trench_abs_paral,subducting_abs_rate,subducting_abs_angle,subducting_abs_ortho,subducting_abs_paral,seafloor_age,subduction_volume_km3y,carbonate_sediment_thickness,total_sediment_thick,ocean_crust_carb_percent,target
-100.44,19.24,1,215,-100.26700000000001,19.397000000000002,0.044000000000000004,405,-101.32,17.1,5.47,16.28,2.51,-158.75,0.18,24.3,909,101,1.14,1.14,5.25,1.53,1.53,-2.34,-0.91,-2.97,12.69,2.9,0.65,11.28,0.04,75.48,59.38,1.39,NA_VOLCANIC
-156.99,57.13,0,16112,-156.99,57.13,0.033,257,-154.47,55.86,5.49,11.54,1.77,-130.46,0.16,315.97,901,111,7.09,7.09,5.38,1.1,1.1,-1.15,-1.35,-4.25,-3.52,4.24,-0.26,44.17,0.07,66.3,112.26,2.14,NA_VOLCANIC
-100.26,19.06,1,215,-100.087,19.217,0.042,406,-101.14,17.02,5.52,16.38,2.51,-158.5,0.18,24.12,909,101,0.96,0.96,5.3,1.56,1.56,-2.34,-0.92,-3.02,12.72,2.95,0.67,11.28,0.04,75.48,59.38,1.39,NA_VOLCANIC
-100.14,19.03,1,215,-99.96700000000001,19.187,0.042,407,-100.97,16.95,5.57,16.24,2.51,-158.49,0.18,24.17,909,101,0.77,0.77,5.34,1.56,1.56,-2.34,-0.92,-3.07,12.52,3.0,0.67,11.08,0.04,75.48,59.38,1.39,NA_VOLCANIC
-99.92,18.95,1,215,-99.74700000000001,19.105999999999998,0.043,408,-100.79,16.87,5.61,16.1,2.51,-158.48,0.18,24.22,909,101,0.59,0.59,5.39,1.56,1.56,-2.34,-0.92,-3.12,12.32,3.05,0.67,11.08,0.04,75.48,59.38,1.39,NA_VOLCANIC
-158.21,56.91,0,16112,-158.21,56.91,0.037000000000000005,249,-156.33,55.04,5.63,-5.74,1.74,-146.68,0.16,331.61,901,111,8.44,8.44,5.6,-0.56,0.56,-1.45,-0.96,-4.42,-20.28,4.15,-1.53,51.2,0.07,42.53,121.58,2.22,NA_VOLCANIC
-99.78,19.05,1,215,-99.60700000000001,19.206,0.045,409,-100.62,16.8,5.66,15.97,2.51,-158.47,0.18,24.27,909,101,0.41,0.41,5.44,1.56,1.56,-2.33,-0.92,-3.17,12.13,3.1,0.67,11.08,0.04,75.48,59.38,1.39,NA_VOLCANIC
-159.39,56.2,0,16112,-159.39,56.2,0.034,244,-157.46,54.59,5.7,2.02,1.72,-138.35,0.18,322.91,901,111,9.24,9.24,5.7,0.2,0.2,-1.28,-1.14,-4.52,-12.19,4.42,-0.95,52.25,0.09,41.87,122.87,2.22,NA_VOLCANIC
-159.79,56.01,0,16112,-159.79,56.01,0.034,243,-157.7,54.48,5.72,2.02,1.71,-138.22,0.18,322.71,901,111,9.42,9.42,5.72,0.2,0.2,-1.28,-1.14,-4.55,-12.12,4.45,-0.95,52.03,0.09,41.87,122.54,2.21,NA_VOLCANIC
-99.5,19.01,1,215,-99.32600000000001,19.166,0.046,411,-100.3,16.67,5.74,18.67,2.51,-155.48,0.16,21.39,909,101,0.08,0.08,5.44,1.84,1.84,-2.28,-1.04,-3.25,14.72,3.15,0.83,12.17,0.03,75.48,61.17,1.44,NA_VOLCANIC
-99.8,19.14,0,215,-99.8,19.14,0.047,405,-100.96,16.71,5.76,15.97,2.51,-158.56,0.18,24.14,909,101,2.19,2.19,5.53,1.58,1.58,-2.34,-0.92,-3.26,12.31,3.19,0.7,11.54,0.04,77.0,60.14,1.38,NA_VOLCANIC
-99.77,18.85,0,215,-99.77,18.85,0.042,406,-100.79,16.64,5.8,15.84,2.51,-158.55,0.18,24.19,909,101,2.0,2.0,5.58,1.58,1.58,-2.34,-0.92,-3.31,12.13,3.23,0.7,11.54,0.04,77.0,60.14,1.38,NA_VOLCANIC
-162.07,55.34,0,16112,-162.07,55.34,0.034,232,-160.68,53.56,5.91,-15.44,1.66,-154.79,0.19,338.04,901,111,11.41,11.41,5.7,-1.57,1.57,-1.5,-0.71,-4.78,-28.67,4.2,-2.29,51.34,0.09,37.06,121.63,2.21,NA_VOLCANIC
-162.27,55.19,0,16112,-162.27,55.19,0.032,231,-160.97,53.49,5.93,-15.39,1.65,-154.7,0.19,337.8,901,111,11.6,11.6,5.71,-1.57,1.57,-1.49,-0.71,-4.8,-28.53,4.22,-2.29,53.51,0.09,37.06,124.31,2.2,NA_VOLCANIC
-163.15,55.42,0,16112,-163.15,55.42,0.04,229,-161.56,53.34,5.96,-15.3,1.64,-154.51,0.19,337.33,901,111,11.98,11.98,5.75,-1.57,1.57,-1.48,-0.71,-4.85,-28.26,4.27,-2.29,53.48,0.09,37.46,124.21,2.19,NA_VOLCANIC
-98.86,19.09,0,215,-98.86,19.09,0.052000000000000005,411,-99.98,16.33,6.01,18.15,2.5,-155.52,0.16,21.45,909,101,1.17,1.17,5.71,1.87,1.87,-2.28,-1.04,-3.53,14.17,3.42,0.86,11.54,0.04,77.0,60.14,1.39,NA_VOLCANIC
-126.38,54.5,20,16111,-126.05,56.503,0.075,285,-123.38,52.52,6.01,-30.11,2.12,163.67,0.17,73.32,903,101,0.09,15.88,5.2,-3.02,3.02,-2.03,0.59,-3.98,-37.13,3.17,-2.4,10.69,0.03,32.13,63.11,1.63,NA_VOLCANIC
-163.97,54.76,0,16112,-163.97,54.76,0.033,225,-162.73,53.04,6.03,-15.13,1.62,-154.11,0.19,336.39,901,111,12.74,12.74,5.82,-1.57,1.57,-1.46,-0.71,-4.93,-27.73,4.36,-2.29,53.42,0.09,37.46,124.16,2.19,NA_VOLCANIC
-164.35,54.67,0,16112,-164.35,54.67,0.033,224,-163.02,52.97,6.05,-15.08,1.61,-154.01,0.19,336.16,901,111,12.93,12.93,5.84,-1.57,1.57,-1.45,-0.71,-4.95,-27.6,4.39,-2.29,53.42,0.09,37.46,124.16,2.19,NA_VOLCANIC
-98.72,18.87,0,215,-98.72,18.87,0.049,412,-99.82,16.27,6.05,16.95,2.5,-156.58,0.17,22.57,909,101,1.0,1.0,5.79,1.76,1.76,-2.3,-1.0,-3.57,12.92,3.48,0.8,11.54,0.04,77.0,60.14,1.39,NA_VOLCANIC
-164.65,54.52,0,16112,-164.65,54.52,0.032,222,-163.61,52.82,6.08,-21.31,1.6,-160.14,0.2,342.02,901,111,13.32,13.32,5.66,-2.21,2.21,-1.5,-0.54,-4.99,-33.66,4.16,-2.77,54.13,0.09,33.68,125.03,2.19,NA_VOLCANIC
-98.43,18.9,0,215,-98.43,18.9,0.051,413,-99.65,16.2,6.1,16.83,2.5,-156.57,0.17,22.61,909,101,0.83,0.83,5.83,1.76,1.76,-2.3,-1.0,-3.62,12.76,3.53,0.8,11.52,0.04,75.92,60.11,1.39,NA_VOLCANIC
-165.66,54.25,0,16112,-165.66,54.25,0.031,218,-164.84,52.57,6.14,-21.07,1.57,-159.8,0.2,341.04,901,111,14.1,14.1,5.73,-2.21,2.21,-1.48,-0.54,-5.08,-33.05,4.25,-2.77,54.21,0.09,33.91,125.13,2.19,NA_VOLCANIC
-165.99,54.13,0,16112,-165.99,54.13,0.03,217,-165.14,52.51,6.16,-21.01,1.57,-159.72,0.2,340.8,901,111,14.3,14.3,5.75,-2.21,2.21,-1.47,-0.54,-5.1,-32.9,4.28,-2.77,54.21,0.09,33.91,125.13,2.19,NA_VOLCANIC
-166.93,53.89,0,16112,-166.93,53.89,0.028999999999999998,214,-166.05,52.31,6.21,-20.84,1.55,-159.45,0.2,340.08,901,111,14.89,14.89,5.8,-2.21,2.21,-1.45,-0.54,-5.16,-32.46,4.35,-2.77,57.04,0.1,34.17,128.33,2.18,NA_VOLCANIC
-168.03,53.93,0,16112,-168.03,53.93,0.034,211,-166.96,52.1,6.26,-20.67,1.53,-159.18,0.2,339.36,901,111,15.47,15.47,5.85,-2.21,2.21,-1.43,-0.54,-5.22,-32.03,4.42,-2.77,57.23,0.1,34.3,128.54,2.18,NA_VOLCANIC
-168.13,53.42,0,16112,-168.13,53.42,0.026000000000000002,210,-167.25,52.04,6.27,-20.62,1.52,-159.09,0.2,339.13,901,111,15.67,15.67,5.87,-2.21,2.21,-1.42,-0.54,-5.24,-31.89,4.45,-2.77,57.23,0.1,34.3,128.54,2.18,NA_VOLCANIC
-168.69,53.13,0,16112,-168.69,53.13,0.023,208,-167.85,51.89,6.31,-20.51,1.51,-158.9,0.2,338.66,901,111,16.06,16.06,5.91,-2.21,2.21,-1.41,-0.54,-5.28,-31.62,4.5,-2.77,57.4,0.1,34.3,128.73,2.18,NA_VOLCANIC
-169.72,52.97,0,16130,-169.72,52.97,0.024,204,-169.04,51.63,6.37,-26.0,1.48,-164.27,0.19,343.45,901,111,16.84,16.84,5.72,-2.79,2.79,-1.43,-0.4,-5.36,-36.78,4.29,-3.21,57.55,0.1,34.67,128.88,2.18,NA_VOLCANIC
-170.11,52.74,0,16130,-170.11,52.74,0.022000000000000002,203,-169.33,51.58,6.38,-25.94,1.48,-164.19,0.19,343.22,901,111,17.04,17.04,5.74,-2.79,2.79,-1.42,-0.4,-5.38,-36.63,4.31,-3.21,57.55,0.1,34.67,128.88,2.18,NA_VOLCANIC
-170.65,52.64,0,16130,-170.65,52.64,0.022000000000000002,201,-169.93,51.46,6.41,-25.81,1.46,-164.04,0.19,342.75,901,111,17.42,17.42,5.77,-2.79,2.79,-1.41,-0.4,-5.41,-36.34,4.36,-3.21,62.2,0.1,34.94,133.69,2.16,NA_VOLCANIC
-171.25,52.49,0,16130,-171.25,52.49,0.021,199,-170.52,51.35,6.44,-25.69,1.45,-163.89,0.19,342.29,901,111,17.15,17.81,5.8,-2.79,2.79,-1.39,-0.4,-5.45,-36.05,4.41,-3.21,62.26,0.1,34.94,133.73,2.16,NA_VOLCANIC
-172.51,52.32,0,16130,-172.51,52.32,0.023,195,-171.7,51.1,6.5,-25.44,1.42,-163.57,0.19,341.37,901,111,16.37,18.59,5.87,-2.79,2.79,-1.36,-0.4,-5.53,-35.49,4.5,-3.21,62.29,0.1,34.94,133.73,2.16,NA_VOLCANIC
-174.15,52.38,0,16130,-174.15,52.38,0.027999999999999997,158,-173.76,50.78,6.59,-40.13,1.37,-178.34,0.19,354.93,901,111,15.02,19.94,5.04,-4.25,4.25,-1.37,-0.04,-5.65,-49.61,3.66,-4.3,57.4,0.08,35.3,128.7,2.18,NA_VOLCANIC
-175.51,52.17,0,16130,-175.51,52.17,0.026000000000000002,123,-175.26,50.69,6.65,-39.71,1.34,-178.29,0.19,353.77,901,111,14.07,20.89,5.11,-4.25,4.25,-1.34,-0.04,-5.72,-48.76,3.77,-4.3,57.38,0.08,35.49,128.69,2.18,NA_VOLCANIC
-176.11,52.08,0,16130,-176.11,52.08,0.025,110,-175.86,50.64,6.67,-39.55,1.32,-178.28,0.19,353.31,901,111,13.68,21.27,5.14,-4.25,4.25,-1.32,-0.04,-5.75,-48.43,3.81,-4.3,57.33,0.09,35.63,128.62,2.18,NA_VOLCANIC
-177.6,52.1,0,16130,-177.6,52.1,0.027999999999999997,68,-177.05,50.55,6.72,-39.23,1.29,-178.24,0.19,352.38,901,111,12.92,22.04,5.2,-4.25,4.25,-1.29,-0.04,-5.81,-47.79,3.9,-4.3,57.25,0.09,35.93,128.46,2.18,NA_VOLCANIC
-178.14,51.88,0,16130,-178.14,51.88,0.025,45,-177.95,50.47,6.75,-39.0,1.27,-178.21,0.19,351.69,901,111,12.34,22.61,5.24,-4.25,4.25,-1.27,-0.04,-5.85,-47.31,3.97,-4.3,55.61,0.09,37.14,126.78,2.18,NA_VOLCANIC
-178.54,51.95,0,16130,-178.54,51.95,0.027000000000000003,37,-178.24,50.44,6.76,-38.92,1.27,-178.2,0.19,351.46,901,111,12.15,22.8,5.26,-4.25,4.25,-1.26,-0.04,-5.86,-47.16,3.99,-4.3,55.61,0.09,37.14,126.78,2.18,NA_VOLCANIC
-178.79,51.79,0,16130,-178.79,51.79,0.024,30,-178.54,50.41,6.77,-38.85,1.26,-178.19,0.19,351.24,901,111,11.96,22.99,5.27,-4.25,4.25,-1.26,-0.04,-5.88,-47.01,4.01,-4.3,55.54,0.09,37.52,126.68,2.18,NA_VOLCANIC
-97.29,18.96,1,215,-97.11399999999999,19.112000000000002,0.068,412,-96.02,15.37,6.86,8.09,2.54,-162.63,0.2,28.9,909,2000,0.1,16.2,6.79,0.96,0.96,-2.43,-0.76,-4.36,3.41,4.35,0.26,15.92,0.06,88.16,67.26,1.65,NA_VOLCANIC
-93.23,17.36,1,205,-93.054,17.506,0.057,420,-94.58,14.6,7.07,9.83,2.35,-159.19,0.2,27.27,909,2000,1.69,14.61,6.97,1.21,1.21,-2.2,-0.84,-4.78,5.1,4.76,0.42,21.84,0.07,95.64,77.1,1.66,NA_VOLCANIC
-126.31,54.22,27,16107,-113.411,53.786,0.084,230,-121.24,52.69,7.37,-18.35,2.14,166.83,0.17,74.22,903,101,0.6,17.17,7.0,-2.32,2.32,-2.08,0.49,-5.24,-20.19,4.92,-1.81,10.78,0.05,66.12,59.07,1.9,NA_VOLCANIC
-126.36,54.48,27,16102,-113.571,53.50899999999999,0.08199999999999999,231,-121.17,52.53,7.43,-18.21,2.14,166.85,0.17,74.28,903,101,0.78,17.0,7.06,-2.32,2.32,-2.09,0.49,-5.29,-19.99,4.98,-1.81,17.31,0.06,66.12,69.9,1.9,NA_VOLCANIC
-126.14,54.13,27,16102,-113.336,53.434,0.084,233,-121.01,52.2,7.54,-17.94,2.15,166.9,0.17,74.4,903,101,1.12,16.66,7.17,-2.32,2.32,-2.09,0.49,-5.4,-19.6,5.08,-1.81,17.31,0.06,66.12,69.9,1.87,NA_VOLCANIC
-109.9,31.43,185,173,-59.104,38.041,0.043,528,-62.15,37.58,8.86,42.79,9.02,177.36,0.17,256.25,101,16111,0.08,23.72,6.5,6.02,6.02,-9.01,0.42,6.89,111.3,-2.5,6.42,53.13,0.09,3.6,124.74,2.53,NA_VOLCANIC
-123.09,49.63,45,16124,-117.738,59.224,0.043,256,-121.28,57.58,9.53,-66.03,1.65,-143.42,0.17,47.94,918,101,10.48,47.33,3.87,-8.71,8.71,-1.33,-0.98,-10.03,-75.35,2.54,-9.71,3.18,0.01,17.97,47.11,1.21,NA_VOLCANIC
-143.93,64.23,114,173,-74.824,50.631,0.035,489,-78.0,50.67,15.82,-7.96,5.4,-169.09,0.19,109.86,902,101,16.82,41.39,15.67,-2.19,2.19,-5.3,-1.02,-10.86,-17.43,10.36,-3.25,78.03,0.29,38.46,146.11,2.48,NA_VOLCANIC
