total_sediment_thick,seafloor_age,conv_rate,dist_nearest_edge,subducting_abs_rate,label
124.15,53.29,2.92,28.93,-4.3,False
123.1,52.41,2.99,29.52,-4.31,False
118.61,48.85,9.92,24.48,-11.04,False
106.16,39.93,8.84,25.46,-8.21,False
118.45,50.32,2.64,28.34,-0.89,False
100.41,38.5,5.79,9.22,-4.74,False
96.38,33.58,11.67,25.22,-10.3,False
46.9,1.3,12.87,19.31,-9.23,False
109.74,42.37,6.57,6.12,-7.11,False
115.33,46.2,6.24,4.19,-5.19,False
108.72,41.69,5.33,22.75,-5.29,False
117.69,48.08,7.14,27.55,-6.75,False
106.07,39.85,10.42,25.59,-6.35,False
97.25,33.97,10.52,22.44,-6.45,False
114.53,45.94,13.31,16.33,-11.06,False
115.98,46.92,9.11,25.56,-7.31,False
148.07,81.99,6.23,35.19,-4.96,False
113.82,45.21,8.37,26.23,-7.74,False
118.52,48.72,7.01,26.86,-6.66,False
128.01,56.61,9.11,2.39,-8.63,False
106.99,53.2,3.07,27.59,4.2,False
112.01,43.82,8.85,3.99,-5.09,False
156.13,98.27,12.17,30.63,-9.68,False
118.73,48.94,-3.04,24.34,3.16,False
59.99,12.99,9.58,25.63,-5.72,False
128.23,56.86,8.9,30.89,-6.93,False
99.66,35.69,8.28,17.76,-9.75,False
97.36,34.19,7.09,18.46,-9.44,False
149.68,84.82,6.38,33.37,-4.62,False
90.6,29.93,10.97,19.76,-6.8,False
107.17,34.0,8.63,17.9,-10.08,False
88.82,28.86,8.3,16.27,-11.36,False
95.21,32.85,7.91,17.38,-9.36,False
110.43,39.85,5.7,20.97,-5.5,False
112.11,44.04,4.46,19.83,-4.85,False
42.94,0.36,1.88,30.47,-0.5,False
99.22,35.36,6.74,11.77,-9.5,False
92.2,30.97,5.54,13.45,-6.74,False
93.11,22.72,10.3,25.06,-6.27,False
88.58,28.72,9.37,22.13,-8.62,False
105.1,39.21,8.89,26.27,-8.19,False
85.27,26.73,14.89,19.58,-10.63,False
110.43,43.81,5.3,22.98,-5.21,False
125.25,54.22,3.63,24.24,-1.67,False
91.11,30.27,7.7,14.52,-6.63,False
87.58,28.13,11.97,21.2,-10.59,False
86.5,27.49,14.71,20.39,-10.49,False
113.37,44.92,8.22,25.65,-7.62,False
110.64,41.38,-2.79,19.32,2.32,False
95.51,5.75,8.29,13.99,-3.82,False
96.97,35.36,6.5,14.35,-9.02,False
127.84,56.99,2.81,27.56,-1.02,False
85.32,27.1,5.67,13.08,-6.85,False
127.93,56.55,10.02,23.44,-11.99,False
48.53,23.77,5.42,13.1,-4.37,False
58.04,25.7,5.44,12.74,-4.39,False
93.11,22.72,10.35,24.67,-6.31,False
118.73,48.94,-3.02,23.97,3.1,False
99.44,35.5,8.29,21.56,-8.8,False
107.42,40.76,10.24,26.91,-6.21,False
121.05,52.46,3.76,26.71,-4.27,False
123.16,52.49,1.68,21.77,0.8,False
109.83,42.44,5.58,21.74,-5.3,False
104.34,38.69,5.8,9.22,-4.75,False
95.83,5.33,8.17,12.74,-2.79,False
117.19,47.65,7.64,2.57,-8.3,False
125.07,54.29,11.27,22.68,-8.97,False
130.17,58.62,4.72,24.85,-1.17,False
78.0,23.02,4.95,13.6,-6.16,False
96.37,35.92,5.77,9.22,-4.73,False
77.54,14.13,8.33,15.74,-3.99,False
89.47,28.4,14.61,21.48,-10.41,False
110.43,43.81,5.41,22.4,-5.29,False
149.05,82.71,10.44,29.61,-8.12,False
103.79,38.43,8.93,26.21,-8.23,False
109.83,42.44,5.69,21.21,-5.38,False
93.98,32.1,11.0,19.3,-6.82,False
111.98,25.86,8.42,15.74,-3.22,False
100.11,34.82,10.32,25.24,-6.29,False
115.48,46.54,9.03,24.11,-7.19,False
146.6,82.94,1.63,30.63,-1.26,False
102.23,37.32,8.73,10.95,-12.2,False
93.73,31.9,9.1,13.28,-12.38,False
122.4,48.13,-3.03,23.14,2.94,False
140.65,69.98,12.62,32.97,-10.16,False
131.77,59.45,13.2,11.17,-9.98,False
85.33,26.69,12.02,20.67,-10.64,False
44.37,1.27,9.56,27.2,-8.01,False
124.84,53.87,1.29,25.37,1.46,False
213.62,157.55,1.9,0.78,1.5,False
140.09,72.38,0.91,1.02,-4.39,False
88.04,20.07,2.47,0.05,-2.41,False
136.89,66.73,1.67,0.68,-3.81,False
226.53,162.34,2.23,0.54,0.69,False
115.55,20.72,4.88,0.05,2.34,False
102.45,16.0,4.74,0.05,-2.41,False
153.68,96.61,8.7,0.39,-5.04,False
141.18,70.65,14.05,8.62,-11.56,False
145.59,74.22,-0.5,0.05,2.5,False
151.72,84.27,3.81,0.28,-1.47,False
137.43,66.13,5.77,0.88,-4.52,False
149.68,84.89,7.99,0.09,-8.2,False
135.01,65.16,6.5,0.56,-5.27,False
137.13,69.07,1.71,0.42,-3.79,False
133.11,60.17,4.58,0.1,-4.51,False
150.83,87.91,3.59,1.88,-2.1,False
151.18,88.06,7.43,1.4,-5.26,False
141.94,71.66,10.15,0.49,-4.91,False
149.95,84.01,13.15,0.09,-9.46,False
144.65,72.65,1.3,0.05,0.65,False
137.18,65.85,5.78,0.88,-4.53,False
137.83,66.58,9.99,0.09,-4.54,False
108.89,64.11,9.04,5.52,-9.05,False
89.71,43.97,7.72,11.11,-7.59,False
118.54,46.68,9.03,15.9,-3.75,False
136.73,65.48,4.06,17.74,-2.39,False
89.63,37.0,12.09,12.29,-8.54,False
87.42,30.33,7.61,14.1,-9.17,False
111.64,70.21,9.58,2.54,-9.5,False
159.23,107.25,12.77,30.5,-10.26,False
133.53,65.6,9.12,2.06,-5.42,False
118.53,48.86,4.94,10.03,-3.47,False
128.99,58.85,8.84,28.95,-6.85,False
151.39,87.24,12.93,28.95,-10.41,False
104.09,42.2,6.83,15.25,-6.59,False
95.21,28.38,7.55,15.63,-8.92,False
108.21,32.94,8.83,12.81,-3.12,False
58.54,4.15,3.78,18.12,-5.24,False
58.54,4.15,3.83,18.31,-5.29,False
50.28,21.53,5.74,13.95,-7.79,False
150.69,85.79,5.6,29.71,-3.06,False
96.65,36.02,9.54,17.29,-8.92,False
128.69,57.29,9.69,4.31,-4.09,False
92.06,7.29,2.33,14.57,-3.74,False
133.44,74.5,7.66,6.35,-4.25,False
137.84,69.68,9.02,1.99,-6.15,False
74.82,14.38,4.2,16.58,-2.66,False
99.55,7.91,8.63,14.34,-2.93,False
149.79,84.05,10.35,23.21,-8.04,False
102.58,60.62,8.16,5.17,-8.02,False
135.8,64.33,9.83,4.96,-4.44,False
129.98,58.91,12.95,3.6,-9.28,False
149.43,84.84,9.98,29.14,-7.66,False
126.56,68.54,6.21,9.33,-4.23,False
104.43,13.66,4.57,13.04,-3.06,False
83.96,19.44,5.79,7.8,-7.43,False
131.71,62.07,5.04,27.81,-3.43,False
64.75,11.09,3.87,17.6,-5.26,False
141.05,70.53,10.12,1.08,-4.85,False
97.75,35.98,8.31,15.81,-6.23,False
80.69,24.03,5.52,10.53,-6.07,False
89.94,28.37,6.35,14.29,-8.38,False
73.79,20.06,3.56,17.58,-4.98,False
110.86,56.61,7.02,9.86,-6.75,False
