,conv_rate_all,conv_rate_mz,conv_rate_cz,conv_rate_mio
age,-0.27,-0.73,0.42,0.05
recon_lon,-0.19,-0.72,0.34,-0.42
recon_lat,0.22,0.50,-0.11,0.52
distance,0.00,0.04,-0.02,0.42
conv_rate,1.00,1.00,1.00,1.00
conv_angle,-0.31,-0.46,-0.17,0.06
trench_abs_rate,0.07,-0.02,0.32,-0.63
trench_abs_angle,0.06,-0.25,0.20,-0.48
arc_len,-0.11,-0.27,0.07,-0.29
trench_norm,-0.24,0.01,-0.39,0.51
dist_nearest_edge,0.20,0.29,0.12,0.38
dist_from_start,0.40,0.60,0.19,-0.41
conv_ortho,0.73,0.70,0.76,0.91
conv_paral,-0.47,-0.46,-0.48,-0.06
trench_abs_ortho,-0.22,-0.20,-0.27,0.50
trench_abs_paral,0.19,0.22,0.26,-0.56
subducting_abs_rate,-0.95,-0.95,-0.95,-0.85
subducting_abs_angle,-0.09,-0.10,-0.08,-0.30
subducting_abs_ortho,0.69,0.62,0.77,0.85
subducting_abs_paral,-0.45,-0.44,-0.48,-0.48
seafloor_age,0.02,0.13,-0.07,0.60
carbonate_sediment_thickness,-0.01,0.43,-0.43,0.64
total_sediment_thick,0.00,0.16,-0.08,0.60
ocean_crust_carb_percent,-0.11,-0.37,-0.05,0.65