,total_sediment_thick_all,total_sediment_thick_mz,total_sediment_thick_cz,total_sediment_thick_mio
age,0.37,-0.13,0.40,-0.23
recon_lon,0.42,0.08,0.37,-0.93
recon_lat,-0.20,-0.04,-0.64,0.95
distance,-0.05,0.00,0.02,0.02
conv_rate,0.00,0.16,-0.08,0.60
conv_angle,0.13,-0.16,0.31,0.15
trench_abs_rate,0.22,0.17,0.12,-0.93
trench_abs_angle,-0.30,0.19,-0.17,-0.98
arc_len,0.06,0.02,0.18,-0.47
trench_norm,-0.04,-0.29,0.08,0.99
dist_nearest_edge,0.14,0.40,0.47,0.93
dist_from_start,-0.19,0.10,-0.57,-0.88
conv_ortho,0.22,0.38,0.26,0.68
conv_paral,0.17,-0.07,0.35,0.16
trench_abs_ortho,-0.17,-0.16,-0.24,0.98
trench_abs_paral,-0.21,0.31,-0.29,-0.94
subducting_abs_rate,0.00,-0.11,0.09,-0.83
subducting_abs_angle,0.09,0.19,0.23,-0.43
subducting_abs_ortho,0.16,0.32,0.22,0.84
subducting_abs_paral,0.11,0.06,0.33,-0.54
seafloor_age,0.95,0.90,1.00,1.00
carbonate_sediment_thickness,0.06,0.17,0.01,0.90
total_sediment_thick,1.00,1.00,1.00,1.00
ocean_crust_carb_percent,0.84,0.48,0.88,0.98