,trench_abs_angle_all,trench_abs_angle_mz,trench_abs_angle_cz,trench_abs_angle_mio
age,-0.21,0.33,0.09,0.38
recon_lon,-0.08,0.36,0.12,0.98
recon_lat,-0.09,-0.24,0.11,-0.97
distance,0.08,-0.02,0.05,0.16
conv_rate,0.06,-0.25,0.20,-0.48
conv_angle,-0.26,-0.01,-0.43,-0.27
trench_abs_rate,-0.11,0.01,-0.03,0.95
trench_abs_angle,1.00,1.00,1.00,1.00
arc_len,-0.01,-0.19,0.10,0.53
trench_norm,-0.13,0.01,-0.21,-1.00
dist_nearest_edge,0.12,-0.10,-0.01,-0.93
dist_from_start,-0.04,-0.45,0.26,0.87
conv_ortho,0.04,-0.16,0.08,-0.64
conv_paral,-0.21,0.07,-0.39,-0.30
trench_abs_ortho,0.10,0.27,0.00,-0.98
trench_abs_paral,0.63,0.59,0.79,0.96
subducting_abs_rate,-0.01,0.28,-0.17,0.79
subducting_abs_angle,0.09,0.39,-0.23,0.30
subducting_abs_ortho,0.08,-0.05,0.09,-0.82
subducting_abs_paral,0.01,0.35,-0.28,0.42
seafloor_age,-0.23,0.36,-0.17,-0.98
carbonate_sediment_thickness,-0.19,-0.20,-0.26,-0.83
total_sediment_thick,-0.30,0.19,-0.17,-0.98
ocean_crust_carb_percent,-0.28,0.41,-0.15,-0.94